kHz;Time(UTC);Days;ITU;Station;Lng;Target;Remarks;P;Start;Stop
9930;1130-1200;Fr;USA;Hope Radio 3;M;FE;/PLW;1;;[0226]
9930;1300-0130;;USA;WTWW Lebanon, TN;E;NAm;L;1;;[0226]
9955;0300-0330;;CZE;Radio Prague;S;LAm;/USA-o;2;;
9955;0400-0430;;CZE;Radio Prague;E;LAm;/USA-o;2;;
9955;0430-0500;;CZE;Radio Prague;F;LAm;/USA-o;2;;
9955;0330-0400;;SVK;Radio Slovakia Int.;S;LAm;/USA-o;2;;
9955;1200-1700;;USA;WRMI Radio Miami Int.;E;LAm;o;2;;
9955;2200-0300;;USA;WRMI Radio Miami Int.;E;LAm;o;2;;
9965;0800-1150;Su;USA;Hope Radio 5;E;FE;/PLW;1;;[1125]
9965;0805-0905;Mo-Fr;USA;Hope Radio 5;E;FE;/PLW;1;;[0326]
9965;0830-0845;Fr;USA;Hope Radio 5;M;FE;/PLW;1;;[0123]
9965;0900-1000;Tu;USA;Hope Radio 5;J;FE;/PLW;1;;[0226]
9965;0840-1050;Sa;USA;Hope Radio 5;E;FE;/PLW;1;;[0126]
9975;1100-1200;Test;USA;Trans World Radio;M;CHN;/UZB;6;0111;0111
9975;1300-1325;Su;USA;Trans World Radio;M;CHN;/TJK;1;;
9975;1300-1340;Mo-Sa;USA;Trans World Radio;M;CHN;/TJK;1;;
9975;1400-1430;Su;USA;Trans World Radio;BR;SEA;/UZB;1;;
9975;1430-1445;Su;USA;Trans World Radio;K-S;SEA;/UZB;1;;
9975;1445-1500;Su;USA;Trans World R. DIGITAL;E;SAs;/UZB;1;;
9975;1500-1505;Su;USA;Trans World R. DIGITAL;E;SEA;/UZB;1;;
10000;0000-2400;;HWA;WWVH Hawaii (f.ann.);-TS;USA;c;1;;[0924]
10000;0000-2400;;USA;WWV Colorado (m.ann.);-TS;USA;fc;1;;[0125]
10048;0000-2400;;USA;San Francisco Radio NP;E;NOc;/ALS-ba;1;;[0518]
10048;0000-2400;;USA;San Francisco Radio NP;E;NOc;/HWA-m;1;;
10057;0000-2400;;USA;San Francisco Radio CEP;E;EOc;dx;1;;[0818]
10081;0000-2400;;USA;San Francisco HFDL(ID1);-HF;WNA;dx;1;;
11175;0000-2400;;USA;US Air Force Messages;E;NAm;;1;;[1225]
11282;0000-2400;;USA;San Francisco Radio CEP;E;EOc;dx;1;;[1124]
11306;0000-2400;;USA;Boeing Seattle;E;WNA;;1;;[0717]
11309;0000-2400;;USA;New York Radio;E;NAO;bg;1;;[0918]
11327;0000-2400;;USA;San Francisco HFDL(ID1);-HF;WNA;dx;1;;
11330;0000-2400;;USA;New York Radio;E;Car;bg;1;;[0323]
11342;0000-2400;;USA;New York Radio;E;NAO;bg;1;;
11342;0000-2400;;USA;San Francisco R. LDOC;E;Oc;dx;1;;
11384;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/GUM-b;1;;
11384;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/HWA-m;1;;
11387;0000-2400;;USA;Riverhead HFDL (ID4);-HF;ENA;rh;1;;
11396;0000-2400;;USA;New York Radio;E;NAO;bg;1;;[1225]
11550;1330-1415;Sa;USA;Trans World Radio;VN;SEA;/PHL-i;1;;[0126]
11575;1630-1700;Mo-Fr;USA;VoA Ashna Radio;AFG;AFG;/KWT;6;1511;0403
11575;1730-2330;;USA;Radio Farda;FS;IRN;/PHL-t;6;2802;0403
11575;1400-2000;;USA;Radio Farda;FS;IRN;/PHL-t;6;0503;2803
11575;2200-2230;;USA;Radio Free Asia;M;FE;/KWT;6;0503;2803
11600;0400-0500;;USA;Brother Stair;E;Eu;/BUL-s;1;;[0925]
11600;1600-1700;;USA;Brother Stair;E;Eu;/BUL-s;1;;[0226]
11660;1900-1930;Su;USA;Follow the Bible Min.;E;WAf;/ASC;1;;[0126]
11700;1900-1930;;USA;Adventist World Radio;HA;NIG;/D-n;0;;
11700;1930-2000;;USA;Adventist World Radio;IG;NIG;/D-n;0;;
11700;2000-2030;;USA;Adventist World Radio;YO;NIG;/D-n;0;;
11700;2030-2100;;USA;Adventist World Radio;NIG;NIG;/D-n;0;;
11700;2100-2200;;USA;Adventist World Radio;M;FE;/GUM-a;0;;
11700;2200-2300;;USA;Adventist World Radio;M;FE;/GUM-a;0;;
11805;1900-2000;;USA;Adventist World Radio;A;ME;/GUM-a;0;;
11825;1030-1045;Mo-Sa;USA;Trans World Radio;MO;MNG;/UZB;1;;
11825;1045-1100;;USA;Trans World Radio;MO;CHN;/UZB;1;;
11850;1300-1400;;USA;Adventist World Radio;M;FE;/GUM-a;0;;
11860;1400-2300;;USA;Radio Marti;S;CUB;g;6;1511;2511
11860;1400-0100;;USA;Radio Marti;S;CUB;g;6;2611;2903
11860;1450-1600;;USA;Radio Marti;S;CUB;g;6;2910;2910
11860;1600-2100;;USA;Radio Marti;S;CUB;g;6;2910;1011
11860;2100-2300;;USA;Radio Marti;S;CUB;g;6;2910;2910
11930;1200-0100;;USA;Radio Marti;S;CUB;g;6;0803;2903
11930;1300-0100;;USA;Radio Marti;S;CUB;g;6;0812;0703
11930;1400-0100;;USA;Radio Marti;S;CUB;g;6;1511;0712
11930;1450-1600;;USA;Radio Marti;S;CUB;g;6;2910;2910
11930;1600-2100;;USA;Radio Marti;S;CUB;g;6;2910;1010
11930;2100-2300;;USA;Radio Marti;S;CUB;g;6;2910;2910
11965;0930-0945;Sa;USA;Trans World Radio;JV;INS;/AUS-ku;0;;
11965;0930-1000;Su;USA;Trans World Radio;IN;INS;/AUS-ku;0;;
11965;0930-1000;Mo-Fr;USA;Trans World Radio;MAD;INS;/AUS-ku;0;;
11965;0945-1030;Sa;USA;Trans World Radio;IN;INS;/AUS-ku;0;;
11965;1000-1015;Su;USA;Trans World Radio;BAL;INS;/AUS-ku;0;;
11965;1000-1030;Mo-Fr;USA;Trans World Radio;SUN;INS;/AUS-ku;0;;
11965;1015-1030;Su;USA;Trans World Radio;MAD;INS;/AUS-ku;0;;
11965;1030-1046;Su-Fr;USA;Trans World Radio;E;SEA;/AUS-ku;0;;
11965;1030-1100;Sa;USA;Trans World Radio;IN;SNG;/AUS-ku;0;;
11965;1045-1100;Su;USA;Trans World Radio;E;SEA;/AUS-ku;0;;
11965;1100-1115;Sa;USA;Trans World Radio;ML;SNG;/AUS-ku;0;;
12005;0400-0500;;USA;Radio Farda;FS;IRN;/UAE;6;1201;1401
12005;1700-1900;;USA;Radio Farda;FS;IRN;/G-w;6;1201;2903
12010;1900-1930;Su;USA;Follow the Bible Min.;E;SAf;/ASC;4;;[0126]
12015;0000-2400;;USA;NSS US Navy;-TY;NAm;a;1;;
12045;1330-1357;;CLA;Furusato no Kaze;J;KRE;/UZB;4;;[0125]
12050;1400-0600;irr;USA;WEWN EWTN Catholic R.;S;LAm;b;1;;[0226]
12085;1500-1700;;USA;Brother Stair;E;ME;/BUL-s;0;;[1225]
12105;1200-1230;Sa;USA;Trans World R. DIGITAL;M;FE;/UZB;1;;
12105;1200-1230;Sa;USA;Trans World Radio;M;FE;/UZB;6;0111;0111
12105;1230-1300;Sa;USA;Trans World R. DIGITAL;J;FE;/UZB;1;;
12105;1230-1300;Sa;USA;Trans World Radio;E;FE;/UZB;6;0111;0111
12120;0030-0100;Mo-Fr;USA;Trans World Radio;E;FE;/PHL-b;1;;
12160;0900-0930;Mo-Fr;USA;Trans World Radio;M;FE;/PHL-b;1;;[0925]
12160;0930-0945;;USA;Trans World Radio;M;FE;/PHL-b;1;;
12160;0945-1000;Mo-Fr;USA;Trans World Radio;M;FE;/PHL-b;1;;
12160;1600-2100;;USA;WWCR 2 Nashville, TN;E;NAm;n;2;;
12350;1230-1300;;USA;WCY Marine Weather Ctr;E;ENA;LL;2;;
12350;1230-1300;;USA;WCY Marine Weather Ctr;E;Car;LL;5;;[0819]
12350;1300-1330;;USA;WCY Marine Weather Ctr;E;CAm;LL;5;;[0918]
12350;1330-1400;;USA;WCY Marine Weather Ctr;E;CAm;LL;4;;
12350;2200-2230;;USA;WCY Marine Weather Ctr;E;Car;LL;1;;[0222]
12585.5;1700-2400;Sa;USA;MRHS KPH Bolinas, CA;-TY;WNA;pr;5;;
12585.5;1800-0100;Sa;USA;MRHS KPH Bolinas, CA;-TY;WNA;pr;4;;
12695.5;1700-2400;Sa;USA;MRHS KFS Bolinas, CA;-CW;WNA;pr;5;;
12695.5;1800-0100;Sa;USA;MRHS KFS Bolinas, CA;-CW;WNA;pr;4;;
12750;1400-1600;;USA;NMF Fax Boston MA;;ENA;bo;1;;[0421]
12750;1720-2251;;USA;NMF Fax Boston MA;;ENA;bo;1;;[1123]
12786;0140-0415;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;[0422]
12786;0655-1015;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;[0721]
12786;1120-1235;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;
12786;1400-1615;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;[0521]
12786;1820-1840;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;
12786;1840-2215;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;[0217]
12786;2320-2400;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;
12788;0330-0410;;USA;NMG USCG New Orleans;E;NAm;nm;1;;
12788;0515-0550;;USA;NMG USCG New Orleans;E;NAm;nm;1;;
12788;0930-1015;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0814]
12788;1115-1150;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0314]
12788;1530-1605;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0721]
12788;1715-1750;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[1118]
12788;2130-2245;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0220]
12788;2315-2350;;USA;NMG USCG New Orleans;E;NAm;nm;1;;[0224]
12789.9;0000-0305;;USA;NMG Fax New Orleans;;Car;nm;1;;[0621]
12789.9;0600-0855;;USA;NMG Fax New Orleans;;Car;nm;1;;
12789.9;1200-1505;;USA;NMG Fax New Orleans;;Car;nm;1;;[0422]
12789.9;1800-2105;;USA;NMG Fax New Orleans;;Car;nm;1;;[1123]
12808.5;1700-2400;Sa;USA;MRHS KPH Bolinas, CA;-CW;WNA;pr;5;;
12808.5;1800-0100;Sa;USA;MRHS KPH Bolinas, CA;-CW;WNA;pr;4;;
13089;0430-0505;;USA;NMC USCG Point Reyes;E;NAm;pr;1;;
13089;1030-1105;;USA;NMC USCG Point Reyes;E;NAm;pr;1;;
13089;1630-1705;;USA;NMC USCG Point Reyes;E;NAm;pr;1;;[0124]
13089;2230-2305;;USA;NMC USCG Point Reyes;E;NAm;pr;1;;[0126]
13089;1115-1215;;USA;NMN USCG Chesapeake;E;NAm;ch;1;;[0922]
13089;1530-1630;;USA;NMN USCG Chesapeake;E;NAm;ch;1;;[0521]
13089;1715-1815;;USA;NMN USCG Chesapeake;E;NAm;ch;1;;[0126]
13089;2130-2156;;USA;NMN USCG Chesapeake;E;NAm;ch;1;;[1225]
13089;2315-0015;;USA;NMN USCG Chesapeake;E;NAm;ch;1;;[0322]
13149;0000-2400;;USA;KLN Riverhead Radio;E;ENA;rh;1;;[0525]
13158;0000-2400;;USA;KPH Rio Vista, CA;E;WNA;rv;1;;[0425]
13158;0000-2400;;USA;WLO Mobile Radio;E;Car;mo;1;;[1024]
13261;0000-2400;;USA;San Francisco Radio SP;E;Oc;/HWA-m;1;;
13276;0000-2400;;USA;Riverhead HFDL (ID4);-HF;ENA;rh;1;;[0724]
13276;0000-2400;;USA;San Francisco HFDL(ID1);-HF;WNA;dx;1;;[0521]
13288;0000-2400;;USA;San Francisco Radio CEP;E;EOc;dx;1;;
13297;0000-2400;;USA;New York Radio;E;Car;bg;1;;[1025]
13300;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/GUM-b;1;;
13300;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/HWA-m;1;;
13306;0000-2400;;USA;New York Radio;E;NAO;bg;1;;[0323]
13339;0000-2400;;USA;San Francisco Radio NP;E;NOc;/ALS-ba;1;;
13339;0000-2400;;USA;San Francisco Radio NP;E;NOc;/HWA-m;1;;
13348;0000-2400;;USA;New York Radio;E;NAO;bg;1;;
13348;0000-2400;;USA;San Francisco R. LDOC;E;Oc;dx;1;;
13354;0000-2400;;USA;New York Radio;E;NAO;bg;1;;[0118]
13354;0000-2400;;USA;San Francisco Radio CEP;E;EOc;dx;1;;
13570;1300-2300;;USA;Radio Marti;S;CUB;g;6;0303;2903
13570;1400-2100;;USA;Radio Marti;S;CUB;g;6;1711;0203
13755;1430-1700;;USA;Radio Farda;FS;IRN;/UAE;6;1501;2903
13755;1500-1700;;USA;Radio Farda;FS;IRN;/UAE;6;1201;1401
13820;1500-2200;;USA;Radio Marti;S;CUB;g;6;1511;2903
13845;1200-2400;;USA;WWCR 3 Nashville, TN;E;NAm;n;5;;
13845;1300-0100;;USA;WWCR 3 Nashville, TN;E;NAm;n;4;;
13845;1400-1430;Su;USA;WWCR 3 Nashville, TN;L;NAm;n;2;;
13845;1600-1700;Sa;USA;WWCR 3 Nashville, TN;S;NAm;n;5;;
15000;0000-2400;;HWA;WWVH Hawaii (f.ann.);-TS;USA;d;1;;[0724]
15000;0000-2400;;USA;WWV Colorado (m.ann.);-TS;USA;fd;1;;[0325]
15016;0000-2400;;USA;US Air Force Messages;E;NAm;;1;;[1225]
15110;0800-1200;;USA;Radio Farda;FS;IRN;/UAE;6;1201;1301
15110;0800-1400;;USA;Radio Farda;FS;IRN;/UAE;6;1401;2201
15150;0000-0400;;USA;WMLK Bethel, PA;E;Eu;;6;2511;2511
15150;1200-1700;Su-Fr;USA;WMLK Bethel, PA;E;Eu;;1;;[0226]
15150;2300-2400;;USA;WMLK Bethel, PA;E;Eu;;6;2411;2411
15215;1500-1530;;USA;Adventist World Radio;KAN;SIn;/GUM-a;0;;
15215;1530-1600;;USA;Adventist World Radio;HI;NIn;/GUM-a;0;;
15245;1230-1245;;USA;Radio Free Asia;BR;SEA;/TWN-p;6;0101;2903
15255;1300-1330;;USA;Adventist World Radio;BE;BGD;/GUM-a;0;;
15265;1330-1400;;USA;Adventist World Radio;KBO;BGD;/GUM-a;0;;
15270;1000-1100;;USA;Adventist World Radio;M;FE;/GUM-a;0;;
15270;1100-1200;;USA;Adventist World Radio;M;FE;/GUM-a;0;;
15310;1200-1500;;USA;Radio Farda;FS;IRN;/UAE;6;1201;1301
15310;1400-1500;;USA;Radio Farda;FS;IRN;/UAE;6;1401;2201
15360;1630-1700;135;USA;Adventist World Radio;PS;SAs;/GUM-a;0;;
15360;1630-1700;2467;USA;Adventist World Radio;SD;SAs;/GUM-a;0;;
15380;1450-1600;;USA;Radio Marti;S;CUB;g;6;2910;2910
15380;1600-2200;;USA;Radio Marti;S;CUB;g;6;1511;2903
15380;2100-2300;;USA;Radio Marti;S;CUB;g;6;2910;2910
15400;1400-1430;;USA;Adventist World Radio;KA;SEA;/GUM-a;0;;
15400;1430-1500;;USA;Adventist World Radio;KA;SEA;/GUM-a;0;;
15400;0200-0700;irr;USA;Radio YHWH;E;WNA;xx;6;2610;3110[1025]
15400;2300-2400;irr;USA;Radio YHWH;E;WNA;xx;6;0112;3112[1225]
15400;1100-1130;Su-Fr;USA;Trans World Radio;K;FE;/UZB;6;2610;2111
15400;1130-1200;Tu-Fr;USA;Trans World Radio;K;FE;/UZB;6;2610;2111
15430;1000-1100;;USA;Adventist World Radio;M;FE;/GUM-a;0;;
15430;1100-1200;;USA;Adventist World Radio;M;FE;/GUM-a;0;;
15430;1200-1230;;USA;Adventist World Radio;MON;SEA;/GUM-a;0;;
15430;0500-0900;;USA;Radio Farda;FS;IRN;/UAE;6;1201;1401
15430;0530-0800;;USA;Radio Farda;FS;IRN;/UAE;6;1501;2201
15440;1430-1500;;USA;Trans World Radio;UR;SAs;/MDG;1;;
15460;1730-1800;;USA;Adventist World Radio;OO;EAf;/D-n;0;;
15460;1800-1830;;USA;Adventist World Radio;TIG;EAf;/D-n;0;;
15460;1830-1900;;USA;Adventist World Radio;AH;EAf;/D-n;0;;
15460;1130-1200;Mo-Fr;USA;Trans World Radio;E;J;/AUS-ku;0;;
15460;1130-1200;Su;USA;Trans World Radio;J;J;/AUS-ku;0;;
15475;1330-1400;;CLA;Furusato no Kaze;J;KRE;/UZB;5;;[0625]
15500;1100-1130;;USA;Adventist World Radio;IN;INS;/GUM-a;0;;
15500;1130-1200;135;USA;Adventist World Radio;JV;INS;/GUM-a;0;;
15500;1130-1200;2467;USA;Adventist World Radio;SUN;INS;/GUM-a;0;;
15505;1400-1430;;USA;Adventist World Radio;C-A;SEA;/GUM-a;0;;
15530;1130-1200;;USA;Adventist World Radio;SHA;SEA;/GUM-a;0;;
15530;1200-1230;;USA;Adventist World Radio;RAK;SEA;/GUM-a;0;;
15530;1230-1300;;USA;Adventist World Radio;K-M;SEA;/GUM-a;0;;
15530;1300-1330;;USA;Adventist World Radio;KC;SEA;/GUM-a;0;;
15530;1430-1500;;USA;Adventist World Radio;BR;SEA;/GUM-a;0;;
15530;1500-1530;;USA;Adventist World Radio;TAM;SIn;/GUM-a;0;;
15550;1200-1230;Su-Th;USA;Adventist World Radio;AM;FE;/GUM-a;0;;
15550;1200-1230;Fr-Sa;USA;Adventist World Radio;M;FE;/GUM-a;0;;
15550;1230-1300;Sa-Th;USA;Adventist World Radio;CA;FE;/GUM-a;0;;
15550;1230-1300;Fr;USA;Adventist World Radio;M;FE;/GUM-a;0;;
15555;1358-2200;;USA;WJHR Milton, FL (USB);E;NAm;mi;1;;[0326]
15600;1230-1300;SaSu;USA;Adventist World Radio;UI;FE;/GUM-a;0;;
15600;1300-1400;;USA;Adventist World Radio;M;FE;/GUM-a;0;;
15610;1900-0600;;USA;WEWN EWTN Catholic R.;E;Af;b;8;;[1123]
15615;0530-1400;;USA;Radio Farda;FS;IRN;/UZB;6;1101;2201
15630;1100-1130;Su-Fr;USA;Trans World Radio;K;FE;/UZB;6;2211;2903
15630;1130-1200;Tu-Fr;USA;Trans World Radio;K;FE;/UZB;6;2211;2903
15680;1300-1330;;USA;Adventist World Radio;NJ;INS;/GUM-a;0;;
15680;1530-1600;;USA;Adventist World Radio;KAN;SIn;/GUM-a;0;;
15680;1600-1630;;USA;Adventist World Radio;TEL;SIn;/GUM-a;0;;
15680;0110-0305;Sa;USA;Hope Radio 4;E;SEA;/PLW;1;;[1125]
15680;0110-0350;Su;USA;Hope Radio 4;E;SEA;/PLW;1;;[1125]
15710;1400-1500;;USA;Adventist World Radio;M;FE;/GUM-a;0;;
15770;0930-1000;;CZE;Radio Prague;E;ENA;/USA-o;1;0101;
15770;2230-2300;;CZE;Radio Prague;E;ENA;/USA-o;1;;
15770;2300-2330;;CZE;Radio Prague;F;ENA;/USA-o;1;;[1125]
15770;1800-2100;24Dec;D;NDR Gruß an Bord;D;NAO;/USA-o;6;0111;2412
15770;0000-0030;;SVK;Radio Slovakia Int.;SK;ENA;/USA-o;1;;
15770;0030-0100;;SVK;Radio Slovakia Int.;E;ENA;/USA-o;1;;
15770;0630-0700;;SVK;Radio Slovakia Int.;S;ENA;/USA-o;1;;[0723]
15770;2200-2230;;TWN;Radio Taiwan Int.;S;ENA;/USA-o;1;;[1125]
15770;0730-0830;;USA;Radio Farda;FS;IRN;o;6;1501;2201
15770;0400-0500;Mo-Fr;USA;Radio Liberty;R;ENA;o;1;;[0725]
15770;0730-0800;;USA;Radio Liberty;R;ENA;o;1;0103;
15770;0000-2400;;USA;WRMI Radio Miami Int.;E;ENA;o;1;;[0724]
15770;0700-0730;;USA;WRMI Radio Miami Int.;R;Eu;o;1;0103;
15959;0000-2400;;USA;NSS US Navy;-TY;NAm;a;1;;
17016.8;1700-2400;Sa;USA;MRHS KPH Bolinas, CA;-CW;WNA;pr;5;;
17016.8;1800-0100;Sa;USA;MRHS KPH Bolinas, CA;-CW;WNA;pr;4;;
17146.4;0600-0855;;USA;NMG Fax New Orleans;;Car;nm;1;;[0325]
17146.4;1200-1505;;USA;NMG Fax New Orleans;;Car;nm;1;;
17146.4;1800-2105;;USA;NMG Fax New Orleans;;Car;nm;1;;[0822]
17151.2;0140-0415;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;[0422]
17151.2;0655-1015;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;
17151.2;1120-1235;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;
17151.2;1400-1615;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;
17151.2;1820-1840;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;
17151.2;1840-2215;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;[0125]
17151.2;2320-2400;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;
17314;1630-1705;;USA;NMC USCG Point Reyes;E;NAm;pr;1;;[0125]
17314;2230-2305;;USA;NMC USCG Point Reyes;E;NAm;pr;1;;[1023]
17314;1715-1815;;USA;NMN USCG Chesapeake;E;NAm;ch;1;;[0126]
17314;2315-0015;;USA;NMN USCG Chesapeake;E;NAm;ch;1;;[1025]
17525;1730-2230;Su-Fr;USA;WMLK Bethel, PA;E;Eu;;0;;[0226]
17525;2230-2400;;USA;WMLK Bethel, PA;E;Eu;;6;2312;2312
17530;2300-2400;;USA;Adventist World Radio;M;FE;/GUM-a;0;;
17620;2300-2400;;USA;Adventist World Radio;M;FE;/GUM-a;0;;
17650;0000-0030;;USA;Adventist World Radio;BR;SEA;/GUM-a;0;;
17700;1400-1415;Tu;USA;Trans World Radio;BON;SAs;/MDG;1;;
17700;1400-1415;Sa;USA;Trans World Radio;BUN;SAs;/MDG;1;;
17700;1400-1415;Su;USA;Trans World Radio;HAR;SAs;/MDG;1;;
17700;1400-1415;Mo;USA;Trans World Radio;HO;SAs;/MDG;1;;
17700;1400-1415;Th;USA;Trans World Radio;KUI;SAs;/MDG;1;;
17700;1400-1415;We;USA;Trans World Radio;KUR;SAs;/MDG;1;;
17700;1400-1415;Fr;USA;Trans World Radio;SNT;SAs;/MDG;1;;
17700;1415-1430;Mo;USA;Trans World Radio;AW;SAs;/MDG;1;;
17700;1415-1430;Su;USA;Trans World Radio;BB;SAs;/MDG;1;;
17700;1415-1430;Fr;USA;Trans World Radio;E;SAs;/MDG;1;;
17700;1415-1430;Tu,Th;USA;Trans World Radio;HI;SAs;/MDG;1;;
17700;1415-1430;We;USA;Trans World Radio;MW;SAs;/MDG;1;;
17700;1415-1445;Sa;USA;Trans World Radio;HI;SAs;/MDG;1;;
17700;1430-1445;Fr;USA;Trans World Radio;BE;SAs;/MDG;1;;
17700;1430-1445;Th;USA;Trans World Radio;DZ;SAs;/MDG;1;;
17700;1430-1445;Mo-We;USA;Trans World Radio;E;SAs;/MDG;1;;
17700;1430-1445;Su;USA;Trans World Radio;MEI;SAs;/MDG;1;;
17700;1445-1446;Mo-Fr;USA;Trans World Radio;E;SAs;/MDG;1;;
17700;1445-1500;Su;USA;Trans World Radio;BHT;SAs;/MDG;1;;
17700;1445-1500;Sa;USA;Trans World Radio;DES;SAs;/MDG;1;;
17700;1446-1500;Mo-Fr;USA;Trans World Radio;HI;SAs;/MDG;1;;
17735;1330-1400;We,Su;USA;Adventist World Radio;ASS;NIn;/GUM-a;0;;
17755;1330-1400;;USA;Adventist World Radio;LIS;SEA;/GUM-a;0;;
17790;0000-0030;;CZE;Radio Prague;S;LAm;/USA-o;1;;
17790;2230-2300;;CZE;Radio Prague;E;LAm;/USA-o;1;;
17790;2300-2330;;CZE;Radio Prague;F;LAm;/USA-o;1;;[1125]
17790;2330-2400;;CZE;Radio Prague;E;LAm;/USA-o;1;;
17790;0030-0100;;SVK;Radio Slovakia Int.;S;LAm;/USA-o;1;;
17790;0130-0200;;SVK;Radio Slovakia Int.;E;LAm;/USA-o;1;;
17790;0100-0130;;TWN;Radio Taiwan Int.;S;LAm;/USA-o;1;;[0126]
17790;2200-2230;;TWN;Radio Taiwan Int.;S;LAm;/USA-o;1;;[1125]
17790;2300-2330;;TWN;Radio Taiwan Int.;F;LAm;/USA-o;0;;[1125]
17790;1500-2130;;USA;PAB Radio Africa;E;SAm;o;1;;
17790;2130-2200;;USA;WRMI Radio Miami Int.;E;ENA;o;1;;
17810;1530-1630;Mo;USA;VoRW;E;SAs;/F-i;1;;[0625]
17840;0900-1400;;USA;Radio Farda;FS;IRN;/PHL-t;6;0403;2903
17904;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/GUM-b;1;;
17904;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/HWA-m;1;;
17904;0000-2400;;USA;San Francisco Radio SP;E;Oc;/HWA-m;1;;[1021]
17907;0000-2400;;USA;New York Radio;E;Car;bg;1;;[0324]
17919;0000-2400;;USA;Riverhead HFDL (ID4);-HF;ENA;rh;1;;
17919;0000-2400;;USA;San Francisco HFDL(ID1);-HF;WNA;dx;1;;
17925;0000-2400;;USA;San Francisco R. LDOC;E;Oc;dx;1;;
17946;0000-2400;;USA;New York Radio;E;NAO;bg;1;;[0226]
17946;0000-2400;;USA;San Francisco Radio NP;E;NOc;/ALS-ba;1;;
17946;0000-2400;;USA;San Francisco Radio NP;E;NOc;/HWA-m;1;;[1225]
17952;0000-2400;;USA;New York Radio;E;NAO;bg;1;;
20000;0000-2400;;USA;WWV Colorado (m.ann.);-TS;USA;fe;1;;[1025]
21500;2000-2400;irr;USA;Radio YHWH;E;WNA;xx;6;0101;0101
21500;2000-2400;irr;USA;Radio YHWH;E;WNA;xx;1;1702;[0226]
21600;0300-0900;;USA;Radio Farda;FS;IRN;/PHL-t;6;0403;2903
21660;1700-1730;Su;USA;Follow the Bible Min.;SWA;EAf;/ASC;1;;[0825]
21925;0000-2400;;USA;New York Radio;E;NAO;bg;1;;
21925;0000-2400;;USA;San Francisco Radio NP;E;NOc;/ALS-ba;1;;
21925;0000-2400;;USA;San Francisco Radio NP;E;NOc;/HWA-m;1;;
21931;0000-2400;;USA;Riverhead HFDL (ID4);-HF;ENA;rh;1;;[0724]
21934;0000-2400;;USA;San Francisco HFDL(ID1);-HF;WNA;dx;1;;
21946;0000-2400;;USA;New York Radio;E;NAO;bg;1;;
21964;0000-2400;;USA;New York Radio;E;NAO;bg;1;;[1114]
21964;0000-2400;;USA;San Francisco Radio CEP;E;EOc;dx;1;;[1016]
21964;0000-2400;;USA;San Francisco R. LDOC;E;Oc;dx;1;;
21985;0000-2400;;USA;New York Radio CAR-B;E;Car;bg;1;;
21985;0000-2400;;USA;San Francisco Radio CWP;E;WOc;/GUM-b;1;;
22477.5;1700-2400;Sa;USA;MRHS KPH Bolinas, CA;-CW;WNA;pr;5;;
22477.5;1800-0100;Sa;USA;MRHS KPH Bolinas, CA;-CW;WNA;pr;4;;
22527;1840-2215;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;[0922]
22527;2320-2400;;USA;NMC Fax Pt Reyes CA;;WNA;pr;1;;
25000;0000-2400;;USA;WWV Colorado (m.ann.);-TS;USA;fg;1;;[0126]
25910;0000-2400;;USA;WBAP Fort Worth, TX;E;USA;wb;1;;[0724]
25950;0000-2400;;USA;KOA Denver, CO;E;USA;de;1;;[1024]
25990;0000-2400;;USA;KSCS Arlington, TX;E;USA;kc;1;;[1024]
26110;0000-2400;;USA;KOVR Sacramento, CA;E;WNA;ws;1;;[0225]
26190;0000-2400;;USA;KSL Salt Lake City, UT;E;USA;ks;1;;[1024]
26450;0000-2400;;USA;WLW Cincinnati, OH;E;USA;ci;1;;[0924]
